TZ Correct,Date From,Date To
1,10/4/2015 1:00,10/11/2015 1:00
1.25,10/4/2015 1:00,10/5/2015 1:00
1.5,10/4/2015 1:00,10/6/2015 1:00
1.75,10/4/2015 1:00,10/11/2015 1:00
2,10/4/2015 1:00,10/5/2015 1:00
1,10/4/2015 15:58,10/6/2015 0:36
1.25,10/4/2015 23:20,10/6/2015 0:57
1.5,10/5/2015 4:10,10/6/2015 2:52
1.75,10/5/2015 6:22,10/7/2015 1:47
2,10/6/2015 2:29,10/7/2015 3:04
1,10/6/2015 12:28,10/7/2015 21:32
1.25,10/7/2015 8:22,10/8/2015 16:41
1.5,10/8/2015 8:08,10/9/2015 11:21
1.75,10/9/2015 4:45,10/9/2015 13:34
2,10/9/2015 23:31,10/10/2015 12:28
1,10/10/2015 16:49,10/11/2015 5:18
1.25,10/11/2015 2:10,10/12/2015 0:40
1.5,10/11/2015 10:20,10/12/2015 20:09
1.75,10/11/2015 19:10,10/13/2015 10:17
2,10/12/2015 12:33,10/14/2015 7:56
1,10/13/2015 3:44,10/14/2015 8:41
1.25,10/13/2015 9:36,10/14/2015 19:56
1.5,10/14/2015 7:42,10/15/2015 11:48
1.75,10/15/2015 3:20,10/15/2015 19:11
2,10/15/2015 18:49,10/16/2015 19:03
1,10/16/2015 3:33,10/16/2015 19:45
1.25,10/16/2015 22:56,10/16/2015 21:13
1.5,10/17/2015 1:19,10/17/2015 4:44
1.75,10/17/2015 3:56,10/18/2015 1:13
2,10/17/2015 11:23,10/19/2015 0:37
1,10/18/2015 8:16,10/19/2015 16:52
1.25,10/18/2015 19:46,10/20/2015 7:38
1.5,10/18/2015 22:06,10/21/2015 3:54
1.75,10/19/2015 7:55,10/21/2015 23:49
2,10/19/2015 15:27,10/22/2015 11:06
1,10/20/2015 11:44,10/23/2015 4:38
1.25,10/20/2015 19:53,10/23/2015 10:19
1.5,10/21/2015 12:09,10/24/2015 8:06
1.75,10/21/2015 18:53,10/24/2015 18:53
2,10/22/2015 0:54,10/24/2015 19:01
1,10/22/2015 21:10,10/25/2015 13:57
1.25,10/23/2015 3:24,10/25/2015 20:34
1.5,10/23/2015 10:19,10/26/2015 17:45
1.75,10/24/2015 5:15,10/27/2015 8:05
2,10/25/2015 0:10,10/28/2015 3:59
1,10/25/2015 1:00,10/29/2015 2:41
1.25,10/25/2015 4:09,10/29/2015 10:01
1.5,10/25/2015 13:16,10/30/2015 1:25
1.75,10/25/2015 21:39,10/30/2015 15:26
2,10/26/2015 7:07,10/31/2015 1:53
1,10/26/2015 19:42,10/31/2015 7:13
1.25,10/27/2015 3:36,10/31/2015 16:39
1.5,10/27/2015 13:40,11/1/2015 7:19
1.75,10/28/2015 3:25,11/2/2015 2:48
2,10/28/2015 14:43,11/2/2015 7:39
1,10/29/2015 9:00,11/3/2015 3:34
1.25,10/30/2015 2:54,11/3/2015 5:16
1.5,10/30/2015 13:04,11/3/2015 19:08
1.75,10/31/2015 12:41,11/4/2015 12:21
2,11/1/2015 11:58,11/4/2015 13:36
1,11/2/2015 10:37,11/4/2015 23:49
1.25,11/2/2015 22:14,11/5/2015 13:12
1.5,11/2/2015 23:48,11/5/2015 15:57
1.75,11/3/2015 9:00,11/6/2015 14:03
2,11/4/2015 5:38,11/7/2015 0:44
1,11/4/2015 13:56,11/7/2015 3:35
1.25,11/4/2015 19:09,11/7/2015 8:09
1.5,11/5/2015 14:27,11/7/2015 16:04
1.75,11/6/2015 10:42,11/8/2015 15:12
2,11/6/2015 23:06,11/8/2015 22:55
1,11/7/2015 22:53,11/9/2015 3:28
1.25,11/8/2015 22:51,11/9/2015 3:32
1.5,11/9/2015 21:18,11/9/2015 13:36
1.75,11/10/2015 2:04,11/9/2015 16:08
2,11/10/2015 14:41,11/10/2015 8:22
1,11/10/2015 17:21,11/10/2015 12:40
1.25,11/11/2015 15:16,11/11/2015 10:20
1.5,11/12/2015 14:10,11/12/2015 7:57
1.75,11/12/2015 20:08,11/13/2015 7:40
2,11/13/2015 6:37,11/13/2015 17:38
1,11/13/2015 14:57,11/14/2015 15:26
1.25,11/13/2015 20:04,11/15/2015 8:05
1.5,11/14/2015 10:55,11/15/2015 18:21
1.75,11/15/2015 7:13,11/15/2015 21:02
2,11/15/2015 21:41,11/16/2015 8:10
1,11/16/2015 16:25,11/16/2015 20:45
1.25,11/17/2015 7:26,11/17/2015 2:49
1.5,11/17/2015 23:14,11/17/2015 8:10
1.75,11/18/2015 20:18,11/17/2015 18:26
2,11/19/2015 16:08,11/18/2015 14:19
1,11/20/2015 15:44,11/19/2015 11:06
1.25,11/20/2015 18:10,11/20/2015 2:19
1.5,11/21/2015 3:16,11/20/2015 14:13
1.75,11/22/2015 2:38,11/21/2015 6:18
2,11/23/2015 0:33,11/21/2015 20:25
1,11/23/2015 19:18,11/22/2015 17:08
1.25,11/24/2015 5:33,11/23/2015 9:47
1.5,11/24/2015 11:08,11/23/2015 20:30
1.75,11/25/2015 2:51,11/23/2015 21:35
2,11/25/2015 5:51,11/24/2015 14:40
1,11/26/2015 2:52,11/24/2015 22:17
1.25,11/26/2015 20:20,11/25/2015 13:00
1.5,11/26/2015 23:12,11/26/2015 10:35
1.75,11/27/2015 8:07,11/27/2015 5:10
2,11/28/2015 1:50,11/27/2015 20:00
1,11/28/2015 21:11,11/28/2015 16:03
1.25,11/29/2015 5:11,11/28/2015 20:58
1.5,11/29/2015 21:29,11/29/2015 11:04
1.75,11/30/2015 1:38,11/30/2015 5:46
2,11/30/2015 16:34,12/1/2015 3:03
1,12/1/2015 0:29,12/1/2015 12:50
1.25,12/1/2015 1:15,12/2/2015 3:41
1.5,12/1/2015 23:28,12/3/2015 0:36
1.75,12/2/2015 1:58,12/3/2015 7:17
2,12/2/2015 19:43,12/3/2015 13:41
1,12/3/2015 4:44,12/3/2015 15:47
1.25,12/3/2015 12:58,12/4/2015 5:17
1.5,12/4/2015 1:52,12/5/2015 5:02
1.75,12/4/2015 19:37,12/5/2015 20:49
2,12/5/2015 9:32,12/5/2015 23:41
1,12/6/2015 5:07,12/6/2015 16:09
1.25,12/6/2015 6:48,12/7/2015 3:35
